Author (Year),Type,Duration,Sample charecteristics,Control vs. Treatment,Sample_size,n_control,n_treatment,Metric,Unit,Data,Variability,Control_Baseline_Mean,Control_Baseline_Variability,Control_Post-intervention_Mean,Control_Post-intervention_Variability,Treatment_Baseline_Mean,Treatment_Baseline_Variability,Treatment_Post-intervention_Mean,Treatment_Post-intervention_Variability,Comment,Funded
Mamo (2005),RCT,6 weeks,"37-57 years old, adults, dyslipidemic",Low protein vs. high protein,20,10,10,% Body Fat Values,,Mean±?,?,31.9,2.6,31.7,2.6,31.7,1.3,31.7,2.7,NA,Meat
Mamo (2005),RCT,6 weeks,"37-57 years old, adults, dyslipidemic",Low protein vs. high protein,20,10,10,Total-cholesterol,mM,Mean±?,?,5.7,0.2,5.7,0.4,5.3,0.3,5.1,0.2,NA,Meat
Mamo (2005),RCT,6 weeks,"37-57 years old, adults, dyslipidemic",Low protein vs. high protein,20,10,10,LDL-Cholesterol,mM,Mean±?,?,3.6,0.2,3.5,0.4,3.3,0.3,3.1,0.2,NA,Meat
Mamo (2005),RCT,6 weeks,"37-57 years old, adults, dyslipidemic",Low protein vs. high protein,20,10,10,HDL-Cholesterol,mM,Mean±?,?,1.2,0.1,1.2,0.1,1.3,0.1,1.3,0.1,NA,Meat
Mamo (2005),RCT,6 weeks,"37-57 years old, adults, dyslipidemic",Low protein vs. high protein,20,10,10,Triglyceride,mM,Mean±?,?,2,0.3,2.2,0.3,1.5,0.1,1.4,0.4,NA,Meat
Mamo (2005),RCT,6 weeks,"37-57 years old, adults, dyslipidemic",Low protein vs. high protein,20,10,10,Weight Values,kg,Mean±?,?,94,5.8,94,5.5,90,3.5,89,3.6,NA,Meat
Maki (2020),Cross-Over,4 weeks,"18-74 years old, adults, overweight/obese",Low meat vs. high meat,33,33,33,Total-cholesterol,mg/dl,"Mean (-1 SD, +1 SD)","(-1 SD, +1 SD)",188,"[157,226]",178,"[153,206]",188,"[157,226]",181,"(165, 211)",>2 weeks washout period,Meat
Maki (2020),Cross-Over,4 weeks,"18-74 years old, adults, overweight/obese",Low meat vs. high meat,33,33,33,LDL-Cholesterol,mg/dl,"Mean (-1 SD, +1 SD)","(-1 SD, +1 SD)",112,"(85.8,145)",105,"(85.4,130)",112,"(85.8,145)",109,"(88.3,134)",>2 weeks washout period,Meat
Maki (2020),Cross-Over,4 weeks,"18-74 years old, adults, overweight/obese",Low meat vs. high meat,33,33,33,HDL-Cholesterol,mg/dl,"Mean (-1 SD, +1 SD)","(-1 SD, +1 SD)",47.6,"(38.7,58.7)",44.6,"(39.1,50.9)",47.6,"(38.7,58.7)",45.5,"(39.9,51.9)",>2 weeks washout period,Meat
Maki (2020),Cross-Over,4 weeks,"18-74 years old, adults, overweight/obese",Low meat vs. high meat,33,33,33,Triglyceride,mg/dl,"Mean (-1 SD, +1 SD)","(-1 SD, +1 SD)",115,"(72.2,183)",111,"(75.4,163)",115,"(72.2,183)",113,"(76.7,166)",>2 weeks washout period,Meat
Mahon (2007),RCT,9 weeks,"50-60 years old, women, menopausal",Chicken vs. beef,29,15,14,BMI Values,kg/m2,Mean±SD,SD,29.1,4.3,26.1,3.8,30.1,3.1,27.6,3.4,Energy restricted diet,Meat
Mahon (2007),RCT,9 weeks,"50-60 years old, women, menopausal",Chicken vs. beef,29,15,14,Weight Values,kg,Mean±SD,SD,76.2,11,67.3,10,81,9.2,74.4,9.6,Energy restricted diet,Meat
Mahon (2007),RCT,9 weeks,"50-60 years old, women, menopausal",Chicken vs. beef,29,15,14,% Body Fat Values,,Mean±SD,SD,42.9,4.1,39.6,4.7,43.4,5.1,41.3,6,Energy restricted diet,Meat
Mahon (2007),RCT,9 weeks,"50-60 years old, women, menopausal",Chicken vs. beef,29,15,14,Total-cholesterol,mg/dl,Mean±SD,SD,218,37,198,42,241,57,218,53,Energy restricted diet,Meat
Mahon (2007),RCT,9 weeks,"50-60 years old, women, menopausal",Chicken vs. beef,29,15,14,LDL-Cholesterol,mg/dl,Mean±SD,SD,141,40,125,32,157,49,140,39,Energy restricted diet,Meat
Mahon (2007),RCT,9 weeks,"50-60 years old, women, menopausal",Chicken vs. beef,29,15,14,HDL-Cholesterol,mg/dl,Mean±SD,SD,50,10,50,12,59,15,57,13,Energy restricted diet,Meat
Mahon (2007),RCT,9 weeks,"50-60 years old, women, menopausal",Chicken vs. beef,29,15,14,Triglyceride,mg/dl,Mean±SD,SD,139,57,114,61,127,57,104,45,Energy restricted diet,Meat
Mahon (2007),RCT,9 weeks,"50-60 years old, women, menopausal",Control vs Beef,25,11,14,BMI Values,kg/m2,Mean±SD,SD,30.1,3.8,29.8,4.1,30.1,3.1,27.6,3.4,Energy restricted diet,Meat
Mahon (2007),RCT,9 weeks,"50-60 years old, women, menopausal",Control vs Beef,25,11,14,Weight Values,kg,Mean±SD,SD,79.8,11.4,79.1,12.2,81,9.2,74.4,9.6,Energy restricted diet,Meat
Mahon (2007),RCT,9 weeks,"50-60 years old, women, menopausal",Control vs Beef,25,11,14,% Body Fat Values,,Mean±SD,SD,44.9,6.7,44.7,6.5,43.4,5.1,41.3,6,Energy restricted diet,Meat
Mahon (2007),RCT,9 weeks,"50-60 years old, women, menopausal",Control vs Beef,25,11,14,Total-cholesterol,mg/dl,Mean±SD,SD,300,70,294,73,241,57,218,53,Energy restricted diet,Meat
Mahon (2007),RCT,9 weeks,"50-60 years old, women, menopausal",Control vs Beef,25,11,14,LDL-Cholesterol,mg/dl,Mean±SD,SD,184,32,174,30,157,49,140,39,Energy restricted diet,Meat
Mahon (2007),RCT,9 weeks,"50-60 years old, women, menopausal",Control vs Beef,25,11,14,HDL-Cholesterol,mg/dl,Mean±SD,SD,68,15,71,13,59,15,57,13,Energy restricted diet,Meat
Mahon (2007),RCT,9 weeks,"50-60 years old, women, menopausal",Control vs Beef,25,11,14,Triglyceride,mg/dl,Mean±SD,SD,156,46,154,55,127,57,104,45,Energy restricted diet,Meat
Mahon (2007),RCT,9 weeks,"50-60 years old, women, menopausal",Carb vs Beef,28,14,14,BMI Values,kg/m2,Mean±SD,SD,28.4,3.3,26.3,3.2,30.1,3.1,27.6,3.4,Energy restricted diet,Meat
Mahon (2007),RCT,9 weeks,"50-60 years old, women, menopausal",Carb vs Beef,28,14,14,Weight Values,kg,Mean±SD,SD,75.9,8.8,70.3,9,81,9.2,74.4,9.6,Energy restricted diet,Meat
Mahon (2007),RCT,9 weeks,"50-60 years old, women, menopausal",Carb vs Beef,28,14,14,% Body Fat Values,,Mean±SD,SD,43.7,5.1,41.5,5.4,43.4,5.1,41.3,6,Energy restricted diet,Meat
Mahon (2007),RCT,9 weeks,"50-60 years old, women, menopausal",Carb vs Beef,28,14,14,Total-cholesterol,mg/dl,Mean±SD,SD,284,87,240,42,241,57,218,53,Energy restricted diet,Meat
Mahon (2007),RCT,9 weeks,"50-60 years old, women, menopausal",Carb vs Beef,28,14,14,LDL-Cholesterol,mg/dl,Mean±SD,SD,161,52,141,33,157,49,140,39,Energy restricted diet,Meat
Mahon (2007),RCT,9 weeks,"50-60 years old, women, menopausal",Carb vs Beef,28,14,14,HDL-Cholesterol,mg/dl,Mean±SD,SD,73,19,61,13,59,15,57,13,Energy restricted diet,Meat
Mahon (2007),RCT,9 weeks,"50-60 years old, women, menopausal",Carb vs Beef,28,14,14,Triglyceride,mg/dl,Mean±SD,SD,183,95,173,87,127,57,104,45,Energy restricted diet,Meat
Li (2016),RCT,4 weeks,">21 years, adults", Lactoovovegetarian vs Omnivorous ,34,17,17,Total-cholesterol,mg/dl,Mean±SEM,SEM,176,6,143,6,186,9,154,8,Baseline vs. 30% protein,Meat
Li (2016),RCT,4 weeks,">21 years, adults", Lactoovovegetarian vs Omnivorous ,34,17,17,LDL-Cholesterol,mg/dl,Mean±SEM,SEM,102,6,82,5,112,7,92,5,Baseline vs. 30% protein,Meat
Li (2016),RCT,4 weeks,">21 years, adults", Lactoovovegetarian vs Omnivorous ,34,17,17,HDL-Cholesterol,mg/dl,Mean±SEM,SEM,53,3,44,2,50,3,42,2,Baseline vs. 30% protein,Meat
Li (2016),RCT,4 weeks,">21 years, adults", Lactoovovegetarian vs Omnivorous ,34,17,17,Triglyceride,mg/dl,Mean±SEM,SEM,107,10,99,9,135,12,107,9,Baseline vs. 30% protein,Meat
Hodgson (2006),RCT,8 weeks,">20 years old, adults, hypertensive",Habitual vs. Lean Red meat Carb replacment,60,31,29,Weight Values,kg,Mean±SD,SD,79.9,15.3,80,15.3,81.3,13.8,81.5,14.3,NA,Meat
Hodgson (2006),RCT,8 weeks,">20 years old, adults, hypertensive",Habitual vs. Lean Red meat Carb replacment,60,31,29,Total-cholesterol,mmol/L,Mean±SD,SD,5,0.7,4.9,0.8,5,0.9,4.9,0.8,Serum,Meat
Hodgson (2006),RCT,8 weeks,">20 years old, adults, hypertensive",Habitual vs. Lean Red meat Carb replacment,60,31,29,LDL-Cholesterol,mmol/L,Mean±SD,SD,2.9,0.7,2.7,0.8,3,0.8,3,0.7,Using formula,Meat
Hodgson (2006),RCT,8 weeks,">20 years old, adults, hypertensive",Habitual vs. Lean Red meat Carb replacment,60,31,29,HDL-Cholesterol,mmol/L,Mean±SD,SD,1.5,0.4,1.48,0.44,1.43,0.46,1.42,0.41,Serum,Meat
Hodgson (2006),RCT,8 weeks,">20 years old, adults, hypertensive",Habitual vs. Lean Red meat Carb replacment,60,31,29,Triglyceride,mmol/L,Mean±SD,SD,1.34,0.85,1.35,0.76,1.36,1.26,1.31,1.16,Serum,Meat
Hill (2015),RCT,5 weeks,"30-60 years old, adults, overweight",M DASH vs. Bold +,42,21,21,BMI Values,kg/m2,Mean±SEM,SEM,34.2,0.5,34.1,0.5,35.1,0.7,34.9,0.7,"DASH diet, 5 weeks maintenance data ",Meat
Hill (2015),RCT,5 weeks,"30-60 years old, adults, overweight",M DASH vs. Bold +,42,21,21,Weight Values,kg,Mean±SEM,SEM,100,2,100,2,105,3,104,3,"DASH diet, 5 weeks maintenance data ",Meat
Hill (2015),RCT,5 weeks,"30-60 years old, adults, overweight",M DASH vs. Bold +,42,21,21,Total-cholesterol,mg/dl,Mean±SEM,SEM,198,5,188,5,191,6,177,6,"DASH diet, 5 weeks maintenance data ",Meat
Hill (2015),RCT,5 weeks,"30-60 years old, adults, overweight",M DASH vs. Bold +,42,21,21,LDL-Cholesterol,mg/dl,Mean±SEM,SEM,126,4,117,4,118,5,107,5,"DASH diet, 5 weeks maintenance data ",Meat
Hill (2015),RCT,5 weeks,"30-60 years old, adults, overweight",M DASH vs. Bold +,42,21,21,HDL-Cholesterol,mg/dl,Mean±SEM,SEM,36.3,1.2,33.9,1,40.2,1.7,35.6,1.6,"DASH diet, 5 weeks maintenance data ",Meat
Hill (2015),RCT,5 weeks,"30-60 years old, adults, overweight",M DASH vs. Bold +,42,21,21,Triglyceride,mg/dl,Median ,95% CI,168,"[161,193]",185,"[168,205]",156,"[147,182]",155,"[148,193]","DASH diet, 5 weeks maintenance data ",Meat
Hill (2015),RCT,5 weeks,"30-60 years old, adults, overweight",M DASH vs. Bold,41,21,20,BMI Values,kg/m2,Mean±SEM,SEM,34.2,0.5,34.1,0.5,34.4,0.6,34,0.6,"DASH diet, 5 weeks maintenance data ",Meat
Hill (2015),RCT,5 weeks,"30-60 years old, adults, overweight",M DASH vs. Bold,41,21,20,Weight Values,kg,Mean±SEM,SEM,100,2,100,2,101,2,100,2,"DASH diet, 5 weeks maintenance data ",Meat
Hill (2015),RCT,5 weeks,"30-60 years old, adults, overweight",M DASH vs. Bold,41,21,20,Total-cholesterol,mg/dl,Mean±SEM,SEM,198,5,188,5,198,8,197,8,"DASH diet, 5 weeks maintenance data ",Meat
Hill (2015),RCT,5 weeks,"30-60 years old, adults, overweight",M DASH vs. Bold,41,21,20,LDL-Cholesterol,mg/dl,Mean±SEM,SEM,126,4,117,4,126,7,127,8,"DASH diet, 5 weeks maintenance data ",Meat
Hill (2015),RCT,5 weeks,"30-60 years old, adults, overweight",M DASH vs. Bold,41,21,20,HDL-Cholesterol,mg/dl,Mean±SEM,SEM,36.3,1.2,33.9,1,38.4,1.1,35.2,1.1,"DASH diet, 5 weeks maintenance data ",Meat
Hill (2015),RCT,5 weeks,"30-60 years old, adults, overweight",M DASH vs. Bold,41,21,20,Triglyceride,mg/dl,Median ,95% CI,168,"[161,193]",185,"[168,205]",156,"[144,203]",172,"[169,242]","DASH diet, 5 weeks maintenance data ",Meat
Bergeron (2019),Cross-Over,4 weeks,"21-65 years old, adults",White meat vs. red meat   (LOW SFA ARM),51,51,51,Total-cholesterol,mmol/L,Mean±SD,SD,4.53,0.88,4.14,0.8,4.53,0.88,4.11,0.78,2-7 weeks washout ,
Bergeron (2019),Cross-Over,4 weeks,"21-65 years old, adults",White meat vs. red meat   (LOW SFA ARM),51,51,51,LDL-Cholesterol,mmol/L,Mean±SD,SD,2.68,0.69,2.38,0.65,2.68,0.69,2.35,0.59,2-7 weeks washout ,
Bergeron (2019),Cross-Over,4 weeks,"21-65 years old, adults",White meat vs. red meat   (LOW SFA ARM),51,51,51,HDL-Cholesterol,mmol/L,Mean±SD,SD,1.45,0.39,1.42,0.39,1.45,0.39,1.4,0.36,2-7 weeks washout ,
Bergeron (2019),Cross-Over,4 weeks,"21-65 years old, adults",White meat vs. red meat   (LOW SFA ARM),51,51,51,Triglyceride,mmol/L,Mean±SD,SD,0.88,0.34,0.78,0.34,0.88,0.34,0.8,0.33,2-7 weeks washout ,
Bergeron (2019),Cross-Over,4 weeks,"21-65 years old, adults",Non Meat vs. red meat   (LOW SFA ARM),51,51,51,Total-cholesterol,mmol/L,Mean±SD,SD,4.53,0.88,3.98,0.8,4.53,0.88,4.11,0.78,2-7 weeks washout ,
Bergeron (2019),Cross-Over,4 weeks,"21-65 years old, adults",Non Meat vs. red meat   (LOW SFA ARM),51,51,51,LDL-Cholesterol,mmol/L,Mean±SD,SD,2.68,0.69,2.22,0.65,2.68,0.69,2.35,0.59,2-7 weeks washout ,
Bergeron (2019),Cross-Over,4 weeks,"21-65 years old, adults",Non Meat vs. red meat   (LOW SFA ARM),51,51,51,HDL-Cholesterol,mmol/L,Mean±SD,SD,1.45,0.39,1.4,0.41,1.45,0.39,1.4,0.36,2-7 weeks washout ,
Bergeron (2019),Cross-Over,4 weeks,"21-65 years old, adults",Non Meat vs. red meat   (LOW SFA ARM),51,51,51,Triglyceride,mmol/L,Mean±SD,SD,0.88,0.34,0.8,0.33,0.88,0.34,0.8,0.33,2-7 weeks washout ,
Bergeron (2019),Cross-Over,4 weeks,"21-65 years old, adults",White meat vs. red meat   (HIGH SFA ARM),62,62,62,Total-cholesterol,mmol/L,Mean±SD,SD,4.5,0.8,4.39,0.83,4.5,0.8,4.42,0.93,2-7 weeks washout ,
Bergeron (2019),Cross-Over,4 weeks,"21-65 years old, adults",White meat vs. red meat   (HIGH SFA ARM),62,62,62,LDL-Cholesterol,mmol/L,Mean±SD,SD,2.69,0.7,2.61,0.72,2.69,0.7,2.64,0.8,2-7 weeks washout ,
Bergeron (2019),Cross-Over,4 weeks,"21-65 years old, adults",White meat vs. red meat   (HIGH SFA ARM),62,62,62,HDL-Cholesterol,mmol/L,Mean±SD,SD,1.35,0.31,1.34,0.31,1.35,0.31,1.34,0.31,2-7 weeks washout ,
Bergeron (2019),Cross-Over,4 weeks,"21-65 years old, adults",White meat vs. red meat   (HIGH SFA ARM),62,62,62,Triglyceride,mmol/L,Mean±SD,SD,1.01,0.54,0.96,0.49,1.01,0.54,0.95,0.47,2-7 weeks washout ,
Bergeron (2019),Cross-Over,4 weeks,"21-65 years old, adults",Non Meat vs. red meat   (HIGH SFA ARM),62,62,62,Total-cholesterol,mmol/L,Mean±SD,SD,4.5,0.8,4.22,0.83,4.5,0.8,4.42,0.93,2-7 weeks washout ,
Bergeron (2019),Cross-Over,4 weeks,"21-65 years old, adults",Non Meat vs. red meat   (HIGH SFA ARM),62,62,62,LDL-Cholesterol,mmol/L,Mean±SD,SD,2.69,0.7,2.46,0.7,2.69,0.7,2.64,0.8,2-7 weeks washout ,
Bergeron (2019),Cross-Over,4 weeks,"21-65 years old, adults",Non Meat vs. red meat   (HIGH SFA ARM),62,62,62,HDL-Cholesterol,mmol/L,Mean±SD,SD,1.35,0.31,1.29,0.31,1.35,0.31,1.34,0.31,2-7 weeks washout ,
Bergeron (2019),Cross-Over,4 weeks,"21-65 years old, adults",Non Meat vs. red meat   (HIGH SFA ARM),62,62,62,Triglyceride,mmol/L,Mean±SD,SD,1.01,0.54,0.99,0.49,1.01,0.54,0.95,0.47,2-7 weeks washout ,
Ashton (2000),Cross-Over,4 weeks,"35-62 years old, men",Tofu vs. red meat,42,42,42,Total-cholesterol,mmol/L,Mean±SD,SD,5.79,0.97,5.42,1.02,5.79,0.97,5.65,0.93,NA,Meat
Ashton (2000),Cross-Over,4 weeks,"35-62 years old, men",Tofu vs. red meat,42,42,42,LDL-Cholesterol,mmol/L,Mean±SD,SD,3.68,0.86,3.48,0.92,3.68,0.86,3.56,0.9,NA,Meat
Ashton (2000),Cross-Over,4 weeks,"35-62 years old, men",Tofu vs. red meat,42,42,42,HDL-Cholesterol,mmol/L,Mean±SD,SD,1.25,0.35,1.24,0.27,1.25,0.35,1.32,0.34,NA,Meat
Ashton (2000),Cross-Over,4 weeks,"35-62 years old, men",Tofu vs. red meat,42,42,42,Triglyceride,mmol/L,Mean±SD,SD,1.96,1.33,1.62,0.99,1.96,1.33,1.77,0.95,NA,Meat
Poddar (2013),RCT,24 weeks,"18-65 years old, overweight/obese",Mushroom vs. red meat,73,36,37,Weight Values,lbs,Mean±SE,SE,196.88,4.91,189.86,5.1,200.43,5.83,198.22,4.42,,Meat
Poddar (2013),RCT,24 weeks,"18-65 years old, overweight/obese",Mushroom vs. red meat,73,36,37,BMI Values,kg/m2,Mean±SE,SE,33.89,0.63,31.56,1.07,33.98,0.62,32.95,0.57,,Meat
Poddar (2013),RCT,24 weeks,"18-65 years old, overweight/obese",Mushroom vs. red meat,73,36,37,% Body Fat Values,,Mean±SE,SE,42.82,0.92,41.17,1.48,42.96,1.01,42.47,0.98,,Meat
Hunninghake (2000),Cross-Over,36 weeks,"18-75 years old, men and women",White meat vs. red meat (sequence white-red),145,73,72,Total-cholesterol,mmol/L,Mean±SEM,SEM,6.2,0.06,6.1,0.06,6.2,0.06,6.14,0.07,,Meat
Hunninghake (2000),Cross-Over,36 weeks,"18-75 years old, men and women",White meat vs. red meat (sequence white-red),145,73,72,LDL-Cholesterol,mmol/L,Mean±SEM,SEM,4.13,0.05,4.01,0.05,4.13,0.05,4.04,0.05,,Meat
Hunninghake (2000),Cross-Over,36 weeks,"18-75 years old, men and women",White meat vs. red meat (sequence white-red),145,73,72,HDL-Cholesterol,mmol/L,Mean±SEM,SEM,1.34,0.04,1.37,0.04,1.34,0.04,1.39,0.04,,Meat
Hunninghake (2000),Cross-Over,36 weeks,"18-75 years old, men and women",White meat vs. red meat (sequence white-red),145,73,72,Triglyceride,mmol/L,Mean±SEM,SEM,1.59,0.06,1.57,0.06,1.59,0.06,1.58,0.06,,Meat
Hunninghake (2000),Cross-Over,36 weeks,"18-75 years old, men and women",White meat vs. red meat (sequence red-white),145,73,72,Total-cholesterol,mmol/L,Mean±SEM,SEM,6.16,0.05,6.13,0.06,6.16,0.05,6.11,0.06,,Meat
Hunninghake (2000),Cross-Over,36 weeks,"18-75 years old, men and women",White meat vs. red meat (sequence red-white),145,73,72,LDL-Cholesterol,mmol/L,Mean±SEM,SEM,4.04,0.05,4.01,0.05,4.04,0.05,3.97,0.05,,Meat
Hunninghake (2000),Cross-Over,36 weeks,"18-75 years old, men and women",White meat vs. red meat (sequence red-white),145,73,72,HDL-Cholesterol,mmol/L,Mean±SEM,SEM,1.34,0.04,1.36,0.04,1.34,0.04,1.36,0.04,,Meat
Hunninghake (2000),Cross-Over,36 weeks,"18-75 years old, men and women",White meat vs. red meat (sequence red-white),145,73,72,Triglyceride,mmol/L,Mean±SEM,SEM,1.71,0.09,1.69,0.1,1.71,0.09,1.71,0.09,,Meat
